,Brand,Model,Variant,Year,driven kilometers,fuel,Transmission,number of owners,location,Price
189,BMW ,3 Series ,2011-2015 320d Luxury Line,2012,86421.0 KM,DIESEL,AUTOMATIC,1st, Vadodara,"11,75,000"
190,Honda ,Amaze ,1.2 SMT I VTEC,2016,19000.0 KM,PETROL,MANUAL,1st, Kolkata,"3,65,000"
191,Maruti Suzuki ,Alto ,LXi,2009,12879.0 KM,PETROL,MANUAL,2nd, Mumbai,"1,05,000"
192,Maruti Suzuki ,Swift ,VXI,2007,950000.0 KM,PETROL,MANUAL,1st, Kolkata,"1,40,000"
193,Maruti Suzuki ,Eeco ,7 Seater Standard,2017,"35,000 KM",PETROL,MANUAL,1st, Dapoli,"4,10,000"
194,Maruti Suzuki ,Swift ,2011-2014 ZDi,2013,"105,000 KM",DIESEL,MANUAL,2nd, Gudiyatham,"4,99,999"
195,Toyota ,Innova ,2.5 V 7 STR,2011,156000.0 KM,DIESEL,MANUAL,1st, Coimbatore,"10,50,000"
196,Honda ,Mobilio ,V i-DTEC,2015,68000.0 KM,DIESEL,MANUAL,1st, Chennai,"5,70,000"
197,Maruti Suzuki ,Swift ,VXi + Manual,2014,90000 KM,CNG,MANUAL,First, Mumbai,"4,05,000"
198,Hyundai ,Creta ,1.6 SX Plus,2017,10600.0 KM,PETROL,MANUAL,1st, Kolkata,"9,49,999"
199,Maruti Suzuki ,Ritz ,2009-2011 VDi ABS,2009,78000.0 KM,DIESEL,MANUAL,2nd, Kozhikode,"2,45,000"
200,Hyundai ,Elite i20 ,Sportz 1.2,2016,32000.0 KM,PETROL,MANUAL,1st, Kolkata,"5,00,000"
201,Maruti Suzuki ,Alto 800 ,LXI,2007,"118,000 KM",PETROL,MANUAL,4th, Mysuru,"1,50,000"
202,Hyundai ,i10 ,1.2 Kappa Magna,2010,75000.0 KM,PETROL,MANUAL,1st, Ahmedabad,"2,30,000"
203,Toyota ,Etios ,2014-2016 GD,2015,90000.0 KM,DIESEL,MANUAL,2nd, Visakhapatnam,"5,30,000"
204,BMW ,5 Series ,530i Sedan,2017,22000.0 KM,PETROL,AUTOMATIC,1st, Mumbai,"43,75,000"
205,Land Rover ,Range Rover ,Others,2018,3400.0 KM,--,AUTOMATIC,1st, Kochi,"60,00,000"
206,Hyundai ,i20 ,2009-2011 Magna 1.4 CRDi,2011,76523.0 KM,DIESEL,MANUAL,1st, Vadodara,"2,75,000"
207,Mercedes-Benz ,GLE Class ,350d,2015,49000.0 KM,DIESEL,AUTOMATIC,1st, Thane,"42,50,000"
208,Maruti Suzuki ,Baleno ,1.2 Delta,2015,54000.0 KM,PETROL,MANUAL,2nd, Kottayam,"5,32,000"
209,Mah,Scorpio ,2006-2009 SLX 2.6 Turbo 7 Str,2008,125521 KM,DIESEL,MANUAL,First, Mumbai,"2,70,000"
210,Maruti Suzuki ,Ciaz ,Smart Hybrid Alpha,2020,"4,000 KM",PETROL,MANUAL,1st, Ranchi,"36,000"
211,Maruti Suzuki ,Alto K10 ,VXI,2011,48000.0 KM,PETROL,MANUAL,1st, Delhi,"1,65,000"
212,Maruti Suzuki ,Swift ,VDI BS IV,2012,110000.0 KM,DIESEL,MANUAL,2nd, Kochi,"3,50,000"
213,Maruti Suzuki ,Alto 800 ,,2013,35000.0 KM,PETROL,MANUAL,1st, Visakhapatnam,"2,60,000"
214,Maruti Suzuki ,Swift Dzire ,ZDI,2018,62000.0 KM,DIESEL,MANUAL,1st, Madurai,"7,90,000"
215,Chevrolet ,Spark ,1.0 BS3,2009,80000.0 KM,PETROL,MANUAL,3rd, Pudukkottai,"1,10,000"
216,Maruti Suzuki ,Alto 800 ,LXI,2013,70000.0 KM,PETROL,MANUAL,--, Thiruvananthapuram,"2,20,000"
