,Brand,Model,Variant,Year,driven kilometers,fuel,Transmission,number of owners,location,Price
149,6,109,194,2018.0,44464.0,3,1,1.0,64,1095000.0
150,2,37,31,2016.0,1.0,3,2,1.0,41,170000.0
151,13,22,310,2018.0,35000.0,6,2,1.0,21,790000.0
152,13,22,263,2018.0,61000.0,3,2,1.0,30,770000.0
153,13,114,245,2008.0,108000.0,5,2,1.0,82,210000.0
154,4,44,46,2015.0,67900.0,3,2,1.0,12,555000.0
155,21,54,303,2019.0,34577.0,3,2,1.0,76,1450000.0
156,13,22,157,2015.0,36000.0,3,2,1.0,32,480000.0
157,5,25,64,2009.0,62000.0,6,1,3.0,64,179000.0
158,6,108,259,2019.0,23926.0,6,1,2.0,17,1000000.0
159,19,62,6,2017.0,33803.0,6,2,1.0,30,268000.0
160,22,60,77,2017.0,60000.0,3,2,1.0,50,1499000.0
161,13,86,281,2011.0,65369.0,3,2,2.0,38,265000.0
162,13,14,203,2018.0,73548.0,3,2,1.0,38,680000.0
163,13,8,236,2007.0,50000.0,6,2,1.0,78,109999.0
164,6,53,240,2016.0,41000.0,6,2,1.0,21,400000.0
165,0,4,71,2012.0,88000.0,3,1,1.0,103,1400000.0
166,12,120,136,2013.0,120000.0,3,2,2.0,66,475000.0
167,6,36,188,2018.0,70000.0,3,2,1.0,83,725000.0
168,13,98,285,2021.0,4000.0,6,2,1.0,59,675000.0
169,24,28,47,2015.0,56000.0,3,2,2.0,50,355000.0
170,12,93,256,2020.0,42530.0,3,2,1.0,21,1895000.0
171,4,47,273,2018.0,21942.0,6,2,2.0,38,450000.0
172,13,8,231,2007.0,65.0,6,2,3.0,30,50000.0
173,13,34,175,2017.0,55848.0,6,2,1.0,36,375000.0
174,1,0,99,2008.0,99000.0,3,1,2.0,36,699000.0
175,13,10,285,2012.0,46252.0,6,2,1.0,12,290000.0
176,6,123,16,2008.0,79000.0,6,2,2.0,103,210000.0
177,6,45,62,2017.0,37000.0,6,2,1.0,49,800000.0
178,23,105,274,2016.0,60000.0,6,2,0.0,105,619041.124137931
179,13,38,141,2014.0,37400.0,3,2,1.0,18,710000.0
180,12,16,197,2017.0,111.0,3,2,1.0,72,545000.0
181,4,33,50,2014.0,56000.0,6,1,1.0,82,599000.0
182,16,68,145,2012.0,68.0,3,1,1.0,2,180000.0
183,6,52,219,2007.0,90000.0,6,2,3.0,64,75000.0
184,6,109,102,2008.0,68000.0,6,2,1.0,82,195000.0
185,13,14,311,2017.0,13400.0,6,1,1.0,93,649000.0
186,13,86,281,2009.0,115000.0,3,2,2.0,47,235000.0
187,14,71,190,2018.0,6500.0,3,1,1.0,64,3790000.0
188,13,99,277,2009.0,61000.0,3,2,2.0,64,247000.0
189,1,0,131,2012.0,86421.0,3,1,1.0,98,1175000.0
190,5,11,24,2016.0,19000.0,6,2,1.0,50,365000.0
191,13,8,235,2009.0,12879.0,6,2,2.0,64,105000.0
192,13,98,285,2007.0,950000.0,6,2,1.0,50,140000.0
193,13,34,179,2017.0,35.0,6,2,1.0,19,410000.0
194,13,98,129,2013.0,105.0,3,2,2.0,28,499999.0
195,22,59,81,2011.0,156000.0,3,2,1.0,18,1050000.0
196,5,69,275,2015.0,68000.0,3,2,1.0,17,570000.0
197,13,98,293,2014.0,90000.0,1,2,1.0,64,405000.0
198,6,27,59,2017.0,10600.0,6,2,1.0,50,949999.0
199,13,86,116,2009.0,78000.0,3,2,2.0,56,245000.0
200,6,36,266,2016.0,32000.0,6,2,1.0,50,500000.0
201,13,9,232,2007.0,118.0,6,2,4.0,65,150000.0
202,6,123,16,2010.0,75000.0,6,2,1.0,1,230000.0
203,22,40,155,2015.0,90000.0,3,2,2.0,103,530000.0
204,1,2,178,2017.0,22000.0,6,1,1.0,64,4375000.0
205,11,82,245,2018.0,3400.0,0,1,1.0,47,6000000.0
206,6,124,115,2011.0,76523.0,3,2,1.0,98,275000.0
207,14,50,170,2015.0,49000.0,3,1,1.0,93,4250000.0
208,13,14,14,2015.0,54000.0,6,2,2.0,55,532000.0
209,12,93,101,2008.0,125521.0,3,2,1.0,64,270000.0
210,13,22,262,2020.0,4.0,6,2,1.0,84,36000.0
211,13,10,285,2011.0,48000.0,6,2,1.0,21,165000.0
212,13,98,279,2012.0,110000.0,3,2,2.0,47,350000.0
213,13,9,274,2013.0,35000.0,6,2,1.0,103,260000.0
214,13,99,306,2018.0,62000.0,3,2,1.0,60,790000.0
215,2,95,0,2009.0,80000.0,6,2,3.0,81,110000.0
216,13,9,232,2013.0,70000.0,6,2,1.0,94,220000.0
217,21,75,274,2020.0,3.0,4,2,1.0,35,75000.0
218,13,98,97,2007.0,94413.0,6,2,3.0,26,115000.0
219,14,31,206,2012.0,60212.0,6,1,2.0,64,1100000.0
220,21,72,23,2018.0,16231.0,6,2,1.0,12,899000.0
221,22,19,93,2007.0,55.0,6,1,1.0,47,30000.0
222,13,14,9,2019.0,20277.0,6,2,1.0,21,730800.0
223,13,99,306,2010.0,208.0,3,2,2.0,77,240000.0
224,6,27,34,2018.0,21000.0,3,2,1.0,17,975000.0
225,4,33,51,2016.0,27498.0,6,2,1.0,64,660000.0
226,5,23,154,2016.0,56811.0,6,2,1.0,64,665000.0
227,19,104,251,2020.0,11011.0,6,2,1.0,64,680000.0
228,6,92,218,2010.0,87000.0,7,2,2.0,21,169000.0
229,12,120,113,2011.0,126000.0,3,2,1.0,1,250000.0
230,5,11,149,2016.0,41000.0,2,2,1.0,21,475000.0
231,6,45,54,2012.0,52000.0,3,2,1.0,50,325000.0
232,13,112,104,2008.0,115000.0,6,2,2.0,40,135000.0
233,6,124,114,2010.0,59027.0,6,2,3.0,21,225000.0
234,20,73,151,2015.0,57000.0,3,2,2.0,83,750000.0
235,13,99,277,2011.0,70999.0,3,2,1.0,64,355000.0
236,20,84,58,2019.0,8095.0,6,2,1.0,64,890000.0
237,23,105,274,2016.0,60000.0,6,2,0.0,105,619041.124137931
238,6,6,213,2011.0,72000.0,2,2,1.0,24,175000.0
239,13,122,290,2007.0,89656.0,6,2,1.0,3,44900.0
240,5,17,126,2012.0,90000.0,6,2,2.0,82,270000.0
241,5,23,106,2011.0,53800.0,6,2,1.0,50,219000.0
242,5,11,148,2013.0,65275.0,3,2,2.0,3,305000.0
243,5,61,274,2016.0,61000.0,3,2,1.0,66,575000.0
244,5,23,315,2019.0,2415.0,6,1,1.0,64,1150000.0
245,13,89,105,2012.0,565.0,6,1,2.0,47,15000.0
246,23,105,274,2016.0,60000.0,6,2,0.0,105,619041.124137931
247,13,112,119,2010.0,79165.0,6,2,1.0,21,115000.0
248,12,118,133,2012.0,79000.0,3,2,2.0,38,550000.0
249,6,125,258,2015.0,40000.0,6,2,2.0,48,492000.0
250,13,14,14,2021.0,20.0,6,2,1.0,33,700000.0
251,13,98,232,2010.0,24000.0,6,2,1.0,21,235000.0
252,15,76,171,2015.0,57000.0,3,1,1.0,21,1400000.0
253,23,105,274,2016.0,60000.0,6,2,0.0,105,619041.124137931
254,23,105,274,2016.0,60000.0,6,2,0.0,105,619041.124137931
255,12,118,299,2012.0,87870.0,3,2,1.0,16,589000.0
256,24,78,117,2010.0,120000.0,3,2,2.0,66,215000.0
257,5,7,68,2010.0,59000.0,6,1,2.0,21,365000.0
258,11,83,224,2013.0,100000.0,3,1,1.0,64,2100000.0
259,13,112,103,2009.0,90000.0,6,2,1.0,47,165000.0
260,9,26,70,2018.0,31000.0,3,2,1.0,94,1500000.0
261,13,38,285,2017.0,12845.0,6,2,1.0,56,705000.0
262,13,86,292,2012.0,48000.0,6,2,2.0,50,195000.0
263,6,36,187,2016.0,8000.0,3,2,2.0,92,611000.0
264,22,59,82,2015.0,140000.0,3,2,1.0,49,1200000.0
265,4,33,215,2019.0,28.0,6,2,1.0,21,870000.0
266,22,60,86,2016.0,71000.0,3,1,2.0,17,1520000.0
267,12,118,299,2013.0,65000.0,3,2,1.0,21,585000.0
268,12,118,296,2016.0,136000.0,3,2,1.0,103,1050000.0
269,13,74,198,2016.0,52000.0,6,2,1.0,97,260000.0
270,6,45,55,2014.0,76000.0,3,2,2.0,17,550000.0
271,23,105,274,2016.0,60000.0,6,2,0.0,105,619041.124137931
272,13,99,277,2011.0,28000.0,3,2,1.0,64,370000.0
273,6,109,194,2017.0,38220.0,3,2,1.0,21,1045000.0
274,24,78,146,2015.0,75000.0,3,2,1.0,95,525000.0
275,24,78,21,2011.0,47000.0,6,2,1.0,1,315000.0
276,6,92,304,2007.0,95000.0,6,2,1.0,101,105000.0
277,13,22,158,2017.0,50000.0,3,2,1.0,64,699000.0
278,19,62,250,2019.0,21200.0,6,2,1.0,12,414000.0
279,14,48,169,2014.0,71100.0,3,1,1.0,16,3885000.0
280,23,105,274,2016.0,60000.0,6,2,0.0,105,619041.124137931
281,6,32,200,2012.0,129000.0,6,2,1.0,94,160000.0
282,17,75,274,2012.0,10000.0,6,2,1.0,47,600000.0
283,13,8,235,2007.0,18000.0,6,2,1.0,1,161000.0
284,12,101,272,2016.0,87000.0,3,2,1.0,103,670000.0
285,2,102,245,2015.0,237.0,3,2,1.0,87,600000.0
286,19,30,182,2015.0,71411.0,3,2,1.0,16,522000.0
287,6,92,302,2006.0,80000.0,6,2,2.0,16,87000.0
288,6,119,27,2020.0,50000.0,1,2,1.0,64,585000.0
289,13,112,285,2008.0,110000.0,6,2,3.0,79,163000.0
290,23,105,274,2016.0,60000.0,6,2,0.0,105,619041.124137931
291,6,124,26,2010.0,82000.0,6,2,2.0,5,300000.0
292,16,97,305,2013.0,30000.0,6,2,1.0,50,300000.0
293,13,99,277,2012.0,70120.0,3,2,1.0,92,374000.0
294,13,34,172,2018.0,41000.0,6,2,1.0,90,450000.0
295,5,23,154,2015.0,21000.0,6,2,2.0,64,595000.0
296,2,91,30,2016.0,12000.0,6,2,1.0,12,365000.0
297,6,123,208,2012.0,35000.0,6,2,1.0,64,242000.0
298,6,109,100,2008.0,59800.0,3,2,1.0,50,155000.0
299,24,78,21,2011.0,67000.0,6,2,2.0,30,230000.0
300,4,33,39,2015.0,33000.0,3,2,1.0,1,521000.0
301,22,46,165,2009.0,160000.0,3,2,2.0,71,850000.0
302,4,42,60,2009.0,27000.0,6,2,2.0,82,225000.0
303,13,14,13,2018.0,39000.0,6,1,1.0,26,750001.0
304,24,77,124,2012.0,177064.0,3,1,2.0,64,475000.0
305,12,16,92,2009.0,204996.0,3,2,2.0,18,550000.0
306,13,112,285,2016.0,80000.0,6,2,1.0,94,375000.0
307,22,59,80,2007.0,140.0,3,2,2.0,36,500000.0
308,22,46,84,2012.0,130000.0,3,1,1.0,69,1411000.0
309,13,99,230,2013.0,64000.0,3,2,1.0,21,240000.0
310,13,34,173,2018.0,38400.0,2,2,1.0,21,400000.0
311,2,29,135,2012.0,50000.0,3,1,1.0,93,500000.0
312,21,75,274,2011.0,90.0,3,2,3.0,52,350000.0
313,5,24,283,2008.0,126000.0,6,2,2.0,18,315000.0
314,13,9,232,2016.0,23000.0,6,2,1.0,56,285000.0
315,19,30,181,2013.0,87000.0,3,2,1.0,20,350000.0
316,13,3,245,2017.0,6.0,6,1,1.0,96,300000.0
